x,y
1.254910286,127.4332514
-0.616000877,-59.47243887
1.73273444,170.8234179
0.113535795,15.39278726
1.059205576,102.7369474
1.591406857,156.3777294
1.58934501,153.9681866
0.413564448,40.39726416
-0.367294569,-35.20441352
0.292446894,29.37566411
-0.606270675,-60.87306184
0.805254647,76.86121465
0.490829078,48.51727443
0.673236674,65.7939514
0.055841456,6.952796625
0.256778775,25.57055358
-0.795029778,-80.37429271
0.242156378,24.77255471
-1.09213584,-105.3825069
-0.104299748,-7.548923813
-0.356440143,-36.38920282
-0.74879309,-71.23303875
0.361273284,33.44625982
-0.224061373,-22.67057518
1.053955265,102.18051
-0.92361248,-92.72306374
1.128372653,109.8082826
-0.082254686,-7.685196085
0.715554665,73.06218064
-0.092626498,-10.22038669
-0.63841699,-62.14847705
0.643598163,63.44475388
-1.096458786,-110.9502855
0.074030124,9.114088389
0.040360562,4.221359741
-0.481225418,-51.2881783
-0.071079859,-5.637424844
-0.667386199,-69.01102289
1.26660088,125.1000714
0.393473972,39.52969668
-1.346188162,-134.8289612
-0.166769432,-15.2097118
0.77035676,75.04616102
0.807621482,82.32632412
-1.59271833,-158.0526311
-0.34328987,-34.04120909
-1.042245299,-104.9017275
-2.590797869,-255.1731497
0.305990778,29.7394109
-1.43446621,-142.1397914
-0.870617157,-87.19730318
1.141987438,116.751678
-1.506695136,-147.4861052
-1.573205103,-154.6914945
-0.642062094,-65.28551345
1.232291991,120.0402495
0.723448974,71.51057561
-1.485213567,-144.8466743
0.570271312,53.57193732
0.253015314,26.14267973
0.486862649,45.64307369
0.326547562,34.09617816
-0.714785262,-74.01915252
2.009955851,193.2401289
0.029107589,3.858629811
0.524834605,54.77534879
-0.731611426,-70.67710832
-0.162719854,-15.55119496
0.338696717,33.85960199
-0.737551965,-72.58044672
0.779228635,75.14088412
-0.028246675,-1.887143284
-2.554615814,-252.8293383
-2.035169997,-200.0690065
-0.477095917,-46.57946085
0.062768282,7.871767465
0.094078802,8.820040285
-0.002469885,0.519762374
0.282949854,24.56195422
0.822727143,78.21901293
-0.30468578,-30.75013521
-1.715210269,-169.6075348
-2.565686392,-254.4598216
0.04538838,1.253171157
0.192324317,19.47988978
-0.444082144,-41.7331909
-0.967433799,-94.67123232
0.638089937,65.2811477
-1.015402978,-96.7820748
0.696360967,63.83080833
1.933858027,187.5746318
-0.046413781,-5.978612536
-0.681499605,-70.32070565
-0.146758537,-13.93333327
1.435717501,141.4821557
-0.842221739,-80.75767732
-0.927749077,-88.52688666
1.315429883,132.1685542
-0.091829238,-7.232712573
0.35157463,36.49083562
0.877438044,91.45749888
-1.358518286,-133.1985988
1.032507444,103.1617727
-0.206609819,-18.86354049
0.473286494,45.48794527
0.394914206,36.20724
-0.81098241,-77.08697199
-1.872616583,-182.4630477
1.584821141,157.6319378
1.294877958,129.2099017
0.460909333,42.10893258
-0.253831757,-28.86606783
-0.869191368,-86.26138255
2.466547771,242.9069477
0.128865655,13.93646572
1.46533866,145.3125769
-0.956872189,-95.15014943
1.391911535,137.1437443
1.431591815,146.1411043
-0.15236999,-20.70201635
-0.603879593,-60.72677981
-0.823253643,-84.51730161
0.116709259,13.66690579
-0.499728713,-45.45822401
0.6896177,67.63715962
1.144496535,113.5141438
0.121460565,11.92341315
-1.286875773,-126.2741408
1.477409671,145.6544931
0.329220063,33.4210504
0.715851452,71.92674426
-0.567571609,-53.68835074
-0.236077909,-21.96700165
1.278670612,127.9351519
-1.923996489,-189.4910554
-0.594942694,-59.14958161
-0.490361405,-49.3913869
0.389939051,38.6873222
-0.44844448,-47.53189882
1.696038307,168.0937653
0.976155617,98.11582909
-1.029080192,-100.1674147
0.589015655,58.51542338
0.243447324,24.36380993
-0.017107168,-0.546576862
1.48301158,144.7359963
-0.816284641,-81.05359373
-2.040056621,-203.9639665
-0.737248571,-75.77418976
0.323999664,30.24999395
1.000317502,98.71618573
1.164875144,117.7502932
0.0969529,11.46713968
0.237791009,22.4443034
0.858198033,83.33946981
-1.076038036,-107.8471245
1.746602855,171.4497073
-0.437526025,-44.48064649
-0.933601077,-90.76294088
-0.487343924,-46.40572152
0.200810102,17.54783509
0.866271621,83.82269101
0.685262225,66.32369672
-0.685953516,-70.57538316
0.363207965,36.5608711
0.096790151,9.649812093
-0.974467215,-93.2323749
0.775804615,72.84970944
-0.491112873,-50.09632328
1.30529258,130.4397234
-0.315059691,-28.59009927
1.315891848,129.9256518
0.17758257,15.46783471
0.297513665,28.75881815
0.267670654,27.40724996
-0.289332726,-29.70573171
0.491563361,46.1856311
-2.035921862,-199.4088197
0.033646328,3.788394925
-0.952529177,-95.5399016
0.936075973,90.52109336
0.908078048,91.77458044
-0.539838544,-54.32363115
-0.05418203,-1.668577789
0.652425148,63.87722866
-0.758810171,-76.52580157
0.178654226,16.34719089
0.475969875,45.44337222
1.662060824,165.5942161
0.978899792,96.88662638
-0.021669617,2.818088856
-1.266532768,-125.4225972
-1.983831689,-196.0419495
0.007524966,0.565385031
0.177534369,17.84014467
-0.551658426,-52.96020364
1.851661709,183.505142
-0.908937608,-88.25365372
-0.87347698,-85.40706899
-1.512550748,-147.3679243
