code,name
A,安捷伦
AA,美铝
AAPL,苹果
ABC,美源伯根
ABT,雅培制药
ACE,ACE保险
ACN,埃森哲
ADBE,奥多比系统
ADI,模拟器件
ADM,ADM公司
ADP,自动数据处理
ADSK,欧特克
AEE,阿莫林
AEP,美国电力
AES,爱伊斯电力
AET,安泰保险
AFL,家庭人寿保险
AGN,爱力根
AIG,美国国际集团
AIV,公寓投资与管理
AIZ,assurant
AKAM,akamai
AKS,AK钢铁
ALL,全州保险
ALTR,altera
AMAT,应用材料
AMD,先进微器件
AMGN,安进
AMP,ameriprise
AMT,american tower
AMZN,亚马逊
AN,autonation
ANF,abercrombie&fitch
ANR,阿尔法自然资源
AON,怡安
APA,阿帕奇石油
APC,阿纳达科石油
APD,空气化工
APH,安费诺电子
APOL,阿波罗
ARG,airgas
ATI,冶联科技
AVB,avalonbay
AVP,雅芳
AVY,艾利丹尼森
AXP,美国运通
AZO,autozone
BA,波音
BAC,美国银行
BAX,百特国际
BBBY,bed bath&beyond
BBT,BB&T
BBY,百思买
BCR,CR bard
BDX,碧迪
BEN,富兰克林资源
BF_B,布朗福曼
BHI,贝克休斯
BIG,big lots拆价零售
BIIB,生物基因
BK,纽约梅隆银行
BLK,贝莱德
BLL,波尔
BMC,BMC软件
BMS,碧美斯
BMY,百时美施贵宝
BRCM,broadcom
BRK_B,伯克希尔哈撒韦-B
BSX,波士顿科学
BTU,博地能源
BXP,波士顿地产
C,花旗集团
CA,冠群国际
CAG,康尼格拉食品
CAH,cardinal health
CAM,cameron international
CAT,卡特彼勒
CB,丘博集团
CBG,世邦魏理壮
CBS,哥伦比亚广播
CCE,可口可乐企业
CCL,嘉年华游轮-co
CEP,联合能源
CELG,celgene
CEPH,cephalon（停牌）
CERN,cerner公司
CF,CF工业控股
CFN,carefusion
CHK,切萨匹克能源
CHRW,罗宾逊全球物流
CI,信诺
CINF,辛辛那提金融
CL,高露洁-棕榄
CLF,cliffs 自然资源
CLX,clorox
CMA,comerica
CMCSA,康卡斯特
CME,芝加哥交易所
CMG,chipotle Mexican grill
CMI,康明斯
CMS,CMS能源
CNP,中点能源
CNX,consol能源
COF,第一资本金融
COG,cabot oil&gas
COH,coach
COL,罗克韦尔柯林斯
COP,康菲石油
COST,好市多
COV,covidien plc
CPB,金宝汤
CPWR,康博软件
CRM,salesforce
CSC,电脑系统咨询
CSCO,思科
CSX,CSX运输
CTAS,cintas
CTL,世纪电信
CTSH,高知特科技
CTXS,思杰系统
CVC,有线电视系统
CVH,coventry health care
CVS,CVS caremark药品零售
CVX,雪佛龙
D,道明尼资源
DD,杜邦
DE,迪尔
DELL,戴尔
DF,迪安食品
DFS,发现金融服务
DGX,奎斯特诊断
DHI,D.R.horton
DHR,丹纳赫
DIS,华特迪斯尼
DISCA,探索传播-A
DNB,邓百氏公司
DNR,denbury resources
DO,diamond offshore drilling
DOV,dover
DOW,陶氏化学
DPS,dr pepper snapple group
DRI,达登饭店
DTE,DTE能源
DTV,directv
DUK,杜克能源
DV,devry
DVA,davita
DVN,戴文能源
EBAY,EBAY
ECL,艺康化工
ED,联合爱迪生
EFX,equifax
EIX,爱迪生国际
EL,雅诗兰黛
EMC,EMC公司
EMN,伊士曼化工
EMR,艾默生电气
EOG,EOG资源
EP,埃尔帕索能源（停牌）
EQR,公寓物业权益信托
EQT,EQT corp
EA,电子艺界
ESRX,快捷药方
ETFC,ETrade金融
ETN,伊顿公司
ETR,安特吉公司
EW,爱德华生命科学
EXC,爱克斯龙电力
EXPD,expeditors international of was
EXPE,expedia
F,福特汽车
FAST,fastenal
FCX,自由港迈克墨伦铜金矿
FDO,家庭美元商店
FDX,联邦快递
FE,第一能源
FFIV,F5网络
FHN,第一地平线银行
FII,联合投资
FIS,富达国民信息服务
FISV,fiserv公司
FITB,五三银行
FLIR,FLIR systems
FLR,福陆
FLS,福斯公司
FMC,FMC公司
FO,富俊品牌（停牌）
FRX,森林实验室
FSLR,第一太阳能
FTI,fmc technologies
FTR,前线传媒
GAS,nicor
GCI,甘尼特
GD,通用动力
GE,通用电气
GILD,吉利德科学
GIS,通用磨坊
GLW,康宁
GME,gamestop
GNW,genworth金融
GOOG,谷歌
GPC,纯牌零件
GPS,盖普
GDP,古德里奇
GS,高盛
GT,固特异轮胎
GWW,W.W.格兰杰
HAL,哈利伯顿公司
HAR,哈曼国际工业
HAS,孩之宝
HBAN,亨廷顿财报
HCBK,哈德逊城市银行
HCN,医疗保健房产信托
HCP,HCP 房产信托
HD,家得宝
HES,赫斯石油
HIG,哈特福德金融服务
HNZ,亨氏
HOG,哈雷戴维森
HON,霍尼韦尔国际
HOT,喜达屋酒店
HP,赫尔默里奇&佩恩
HPQ,惠普公司
HRB,H&R布洛克
HRL,荷美尔
HRS,哈里斯
HSP,hospira
HST,host酒店及假村
HSY,好时公司
HUM,哈门那
IBM,IBM公司
ICE,洲际交易所
