code,name
600000,浦发银行
600016,民生银行
600028,中国石化
600029,南方航空
600030,中信证券
600036,招商银行
600048,保利地产
600050,中国联通
600100,同方股份
600104,上汽集团
600111,北方稀土
600340,华夏幸福
600485,信威集团
600518,康美药业
600519,贵州茅台
600547,山东黄金
600606,绿地控股
600837,海通证券
600887,伊利股份
600919,江苏银行
600958,东方证券
600999,招商证券
601006,大秦铁路
601088,中国神华
601166,兴业银行
601169,北京银行
601186,中国铁建
601198,东兴证券
601211,国泰君安
601229,上海银行
601288,农业银行
601318,中国平安
601328,交通银行
601336,新华保险
601390,中国中铁
601398,工商银行
601601,中国太保
601628,中国人寿
601668,中国建筑
601688,华泰证券
601766,中国中车
601788,光大证券
601800,中国交建
601818,光大银行
601857,中国石油
601881,中国银河
601901,方正证券
601985,中国核电
601988,中国银行
601989,中国重工
